メディア,投稿日（推定）,タイトル／本文（抜粋）,カテゴリ,URL,メモ・要点,チェックすべき関連サイト,重要なワード,今後深堀すべきポイント
X,2026-03-30,"WEBER：ウェビナー設計士、コミュニティ・マネージャー。",コミュニティ/デザイン,https://x.com/sesshuuX,"雪舟館のウェビナー・コミュニティ運営を統括。参加者の体験設計と信頼構築の専門家。",https://github.com/yukikiki2011-cloud/sesshuu-anima/tree/main/WEBER,"ウェビナー, コミュニティ設計, 体験デザイン",オンライン・オフライン統合体験の構築
SHIFT AI Blog,2025-12-06,ChatGPTと友達になる方法！自分好みの友達にするためのプロンプトや注意点まで解説,ChatGPT/ノウハウ,https://shift-ai.co.jp/blog/43660/,プロンプト設定によりChatGPTを24時間対応の友達として活用。感情を気にせず相談でき話し方もカスタマイズ可能。,"ChatGPT(https://chatgpt.com)","ChatGPT, ノウハウ",ChatGPT の実務運用
SHIFT AI Blog,2025-06-13,AI業界第一人者による生成AIセミナー【無料・初心者向け】,AIキャリア・学習/ノウハウ,https://shift-ai.co.jp/blog/26774/,SHIFT AIが開催するAI初心者向け無料セミナー。累計申込10万人・満足度94.3%。,"BCG(https://www.bcg.com) / GUGA(https://guga.or.jp)","AIキャリア・学習, ノウハウ",AIキャリア・学習 の実務運用
SHIFT AI Blog,2025-01-21,AIを活用した副業スクールのおすすめ5選と後悔しないための5つのポイント,AI副業/ノウハウ,https://shift-ai.co.jp/blog/15129/,SHIFT AI・クラウドワークスAI道場などの5校を比較。主催者・副業種類・料金で選ぶ方法。,"クラウドワークスAI道場(https://dojo.crowdworks-ai.com) / DMM WEBCAMP(https://web-camp.io/courses/ai) / ホリエモンAI学校(https://horiemon.ai)","AI副業, ノウハウ",AI副業 の実務運用
SHIFT AI（learning）,2025-10-29,【ウェビナー】Discord登録会,コミュニティ運営,https://learning.shift-ai.co.jp/page/EKxFCl1YH1Jr,Discord活用のオンボーディングウェビナー。新規会員の参加体験設計の一環,discord.com / shift-ai.co.jp,Discord,オンボーディングフローの詳細・参加者体験設計のステップ
SHIFT AI（learning）,2025-11-02,【ウェビナー】SHIFT AI 超豪華プレゼント解説セミナー～9月・10月の厳選プレゼントを"成果に変える"活用法～,ウェビナー設計,https://learning.shift-ai.co.jp/page/W8Mpom0y7IRo,会員特典プレゼントの活用法を解説。成果導線設計型ウェビナーの好事例,learning.shift-ai.co.jp,プレゼント活用 / 成果導線,会員エンゲージメント維持手法・特典設計のノウハウ
SHIFT AI（learning）,2025-11-06,【ウェビナー】「誰も見てくれない」から卒業 AI×デザインで見られる広告の作り方〜副業成功は「良い画像」から始まる〜,ウェビナー設計,https://learning.shift-ai.co.jp/page/pRc3h1T5WcbI,AIとデザインを組み合わせた副業特化型ウェビナー。タイトルに課題解決訴求を使用,shift-ai.co.jp,AI×デザイン / 副業 / 広告制作,ウェビナータイトル設計・訴求軸の言語化手法
SHIFT AI（learning）,2025-11-24,【速報ウェビナー】Genspark最新機能発表：AIツール選択からの解放,ウェビナー設計,https://learning.shift-ai.co.jp/page/Tuk7To6TBdm5,最新AIツールの速報をウェビナー形式で即時配信。トレンドキャッチアップ型の企画,genspark.ai / shift-ai.co.jp,Genspark / 速報 / AIツール選定,速報ウェビナーの企画・告知タイミング設計
SHIFT AI（prtimes）,2025-03-12,「生成AI教育を成功させる3つのポイント解説」無料ウェビナー,ウェビナー設計,https://prtimes.jp/main/html/rd/p/000000115.000116644.html,登壇：木内悠貴（SHIFT AI 生成AIコンサルタント）。授業設計・教員マインドセット・教え方テクニックを解説,prtimes.jp / shift-ai.co.jp,生成AI教育 / 授業設計 / マインドセット,教育機関向けウェビナー設計の応用・SHIFT AIの法人展開戦略
SHIFT AI（news）,2025-06-06,SHIFT AI コミュニティ会員2万人達成！AI初学者から経営層まで誰もがAIを武器にできる時代へ,コミュニティ運営,https://shift-ai.co.jp/news/post-28162/,2025-06-03に有料会員2万人達成。初学者〜経営層まで多層的なユーザー設計,prtimes.jp / shift-ai.co.jp,2万人達成 / 多層ユーザー設計,コミュニティ規模拡大のマイルストーン発信手法・会員層別コンテンツ設計
