メディア,投稿日（推定）,タイトル／本文（抜粋）,カテゴリ,URL,メモ・要点,チェックすべき関連サイト,重要なワード,今後深堀すべきポイント
X,2026-03-30,"川合 卓也（KAWAI）プロフィール：デザイナー、世界観構築のプロフェッショナル。",デザイン/AI,https://x.com/kawai_design,"雪舟館の全ビジュアル・世界観を統括。AIを道具として使いこなす感性。",https://github.com/yukikiki2011-cloud/KAWAI,"デザイン思考, 美意識, AIクリエイティブ",AIによる能力拡張の具現化
X,2026-04-02,"Claude Code Guide 更新：v2.1.90。新コマンド /powerup (インタラクティブレッスン) 追加。","AI/教育",https://claude-code-dictionary.pages.dev/,"ターミナル内で Claude Code の使い方を学べるインタラクティブレッスン機能が実装された。","https://claude-code-dictionary.pages.dev/","/powerup, チュートリアル, v2.1.90",インタラクティブ学習による導入コストの低減
X,2026-04-02,"Claude Code辞典 v2.1.89 更新：Auto mode 再試行(rキー)、新フック PermissionDenied 反映。",デザイン/AI,https://x.com/kawai_design,"辞典の毎日更新を継続。開発効率を向上させる最新設定の公開。",https://claude-code-dictionary.pages.dev/,"Claude Code, v2.1.89, CSSフック",新機能の実践活用
X,2026-03-31,"Claude Code 内部ソースから101個のフィーチャーフラグを発見。KAIROS等の自律動作機能に注目。",AI/開発,https://x.com/kawai_design,"KAIROS（バックグラウンド自律動作、GitHub Webhook連携）の可能性を考察。",https://x.com/kawai_design,"KAIROS, フィーチャーフラグ, 自律動作",リリース予定と影響の調査
X,2026-03-30,"Claude Code 権限確認回避術：trash/ フォルダへの mv を活用し作業効率化。",AI/開発効率,https://x.com/kawai_design,"rmによる頻繁な承認待ちを避け、mvで擬似ゴミ箱へ移動させる全自動整理テクニック。",https://x.com/kawai_design,"mv, trashフォルダ, 自動化",承認不要コマンドのワークフロー化
SHIFT AI Blog,2026-03-28,Googleの新音楽生成モデル「Lyria 3 Pro」とは？料金や使い方、Suno・Udioとの違いを解説！,Gemini/トレンド,https://shift-ai.co.jp/blog/55211/,"Lyria 3 ProはGoogle DeepMindが発表した最新AI音楽生成モデル。最長3分のフルソング生成・楽曲構造のプロンプト指定・画像からの音楽生成に対応。","Gemini(https://gemini.google.com) / Suno AI(https://suno.ai) / Udio(https://www.udio.com) / GUGA(https://guga.or.jp)","Gemini, トレンド",Gemini の実務運用
SHIFT AI Blog,2026-03-26,【2026年最新】Claude Codeの料金体系は？制限や用途別のおすすめプランも解説,Claude/ノウハウ,https://shift-ai.co.jp/blog/53404/,Claude Codeの料金体系を解説。個人向けProプラン（月額$20）からEnterprise向けまで複数プランがあり使用量に応じて選択可能。,"Claude公式(https://claude.com) / Claude APIドキュメント(https://platform.claude.com/docs)","Claude, ノウハウ",Claude の実務運用
SHIFT AI Blog,2026-03-26,インフォグラフィックを作成できる生成AI12選！コツや生成時に役立つプロンプト・注意点まで網羅,生成AIツール/ノウハウ,https://shift-ai.co.jp/blog/53417/,Gemini・ChatGPT・Canvaなど12のツールを比較紹介。構成案作成から微調整まで段階的なプロンプト活用法。,"Canva(https://www.canva.com) / Manus(https://manus.im) / Piktochart(https://piktochart.com) / Adobe Express(https://www.adobe.com/express) / Visme(https://www.visme.co)","生成AIツール, ノウハウ",生成AIツール の実務運用
SHIFT AI Blog,2025-12-06,Manusでスライドを自動生成する方法！生成のコツやコピペOKのプロンプトまで紹介,生成AIツール/ノウハウ,https://shift-ai.co.jp/blog/43721/,Manusはテーマから自動でプレゼン資料を生成するAIツール。構成設計から文章作成・デザインまで一貫して自動化。,"Manus(https://manus.im)","生成AIツール, ノウハウ",生成AIツール の実務運用
SHIFT AI Blog,2025-08-20,【画像を自由に操れる】画像生成AI「nano-banana」が登場！特徴や使い方を解説,生成AIツール/トレンド,https://shift-ai.co.jp/blog/34141/,Nano Banana ProはGemini 3 Pro基盤のGoogle開発画像生成モデル。日本語処理向上・最大14枚の画像合成が特徴。,"Google DeepMind(https://deepmind.google) / NotebookLM(https://notebooklm.google.com) / Genspark(https://www.genspark.ai)","生成AIツール, トレンド",生成AIツール の実務運用
SHIFT AI Blog,2025-06-12,TikTokでAIマーメイド動画を作成する方法！作成できない時の対処法や注意点も,生成AIツール,https://shift-ai.co.jp/blog/26438/,TikTokの「AIマーメイドエフェクト」は顔写真1枚で人魚姿に変身できる無料AI機能。,"TikTok(https://www.tiktok.com) / TikTok規約(https://www.tiktok.com/legal/page/row/terms-of-service/ja)",生成AIツール,生成AIツール の実務運用
